nom,code_postal,ville,siret,adresse
"Tribunal judiciaire de Valence","26000","VALENCE","17380111900020","2 place Simone VEIL",
"Tribunal judiciaire de Cayenne","97300","CAYENNE","13001580300021","15 avenue du Général de Gaulle"
"Tribunal judiciaire de La Roche-sur-Yon","85000","LA ROCHE SUR YON","17860111800023","55 Boulevard Aristide Briand"
"Tribunal judiciaire de Dieppe","76200","DIEPPE","17760111900023","Square Carnot"
"Tribunal judiciaire d'Aix-en-Provence","13080","AIX EN PROVENCE","17130111200024","40 Boulevard Carnot"
"Tribunal judiciaire de Guéret","23000","GUERET","17870111600026","23 Place Bonnyaud"
"Tribunal judiciaire de Saint-Denis-de-La-Réunion","97400","ST DENIS","17974111100027","5 avenue André Malraux"
"Tribunal judiciaire de Cherbourg-en-Cotentin","50460","CHERBOURG EN COTENTIN","17140111000027","15 rue des Tribunaux"
"Tribunal judiciaire d'Albertville","73200","ALBERTVILLE","17730111600030","avenue des Chasseurs Alpins"
"Tribunal judiciaire des Sables-d'Olonne","85100","LES SABLES D OLONNE","17860111800031","Place du Palais de Justice"
"Tribunal judiciaire de Saint-Pierre","97410","ST PIERRE","17974111100035","28 rue Augustin Archambaud"
"Tribunal judiciaire de Basse-Terre","97100","BASSE TERRE","17971111400035","4 Boulevard Félix Eboué"
"Tribunal judiciaire de Tarbes","65000","TARBES","17640111500041","6 bis rue du Maréchal Foch"
"Tribunal judiciaire de Reims","51100","REIMS","17510111200043","Place Myron Herrick"
"Tribunal judiciaire d'Auch","32000","AUCH","17470111000044","Allée d'Etigny"
"Tribunal de Première Instance de Mata-Utu","98600","UVEA","13000313000049",null
"Tribunal judiciaire d'Agen","47000","AGEN","17470111000051","Avenue de Lattre de Tassigny"
"Tribunal judiciaire de Vienne","38200","VIENNE","17380111900053","16 Place Charles de Gaulle"
"Tribunal judiciaire de Châteauroux","36000","CHATEAUROUX","17180111100054","Place Lucien Germereau"
"Tribunal judiciaire de Béthune","62400","BETHUNE","17590111500055","Place Lamartine"
"Tribunal judiciaire de Poitiers","86000","POITIERS","17860111800056","4 Bld Maréchal de Lattre de Tassigny"
"Tribunal judiciaire d'Angers","49000","ANGERS","17490111600056","Rue Waldeck Rousseau"
"Tribunal judiciaire de Privas","07000","PRIVAS","17300111600057","Cours du Palais"
"Tribunal judiciaire de Périgueux","24000","PERIGUEUX","17330111000057","19 bis boulevard Montaigne"
"Tribunal judiciaire de Metz","57050","METZ","17570111900059","3 Rue Haute Pierre"
"Tribunal judiciaire de Limoges","87100","LIMOGES","17870111600059","23 place Winston Churchill"
"Tribunal judiciaire de Bourges","18000","BOURGES","17180111100062","8 rue des Arènes"
"Tribunal judiciaire de Saumur","49400","SAUMUR","17490111600064","place St Michel"
"Tribunal judiciaire de Saint-Quentin","02100","ST QUENTIN","17800111100065","place Gracchus Babeuf"
"Tribunal judiciaire de Libourne","33500","LIBOURNE","17330111000065","22 rue Thiers"
"Tribunal judiciaire de Pau","64000","PAU","17640111500066","place de la Libération"
"Tribunal judiciaire de Pointe-Ã -Pitre","97110","POINTE A PITRE","17971111400068","16 rue DUGOMMIER"
"Tribunal judiciaire de Châlons-en-Champagne","51000","CHALONS EN CHAMPAGNE","17510111200068","2 Quai Eugène Perrier"
"Tribunal judiciaire de Montargis","45200","MONTARGIS","17450111400071","84 Rue du Général Leclerc"
"Tribunal judiciaire du Puy-en-Velay","43000","LE PUY EN VELAY","17630111700071","Place du Breuil"
"Tribunal judiciaire d'Evreux","27000","EVREUX","17760111900072","30 Rue Joséphine"
"Tribunal judiciaire de Beauvais","60000","BEAUVAIS","17800111100073","20 boulevard Saint-Jean"
"Tribunal judiciaire d'AngoulÃªme","16000","ANGOULEME","17330111000073","Place Francis Louvel"
"Tribunal judiciaire de Troyes","10000","TROYES","17510111200076","83 rue du Général de Gaulle"
"Tribunal judiciaire de Chalon-sur-Saône","71100","CHALON SUR SAONE","17210111500076","Rue Emiland-Menand"
"Tribunal judiciaire de Cahors","46000","CAHORS","17470111000077","Boulevard Léon Gambetta"
"Tribunal judiciaire de Bourg-en-Bresse","01000","BOURG EN BRESSE","17690111400080","32 avenue Alsace Lorraine"
